-----------------------------
name,sizeAligned,version,offset,value3,messageId
GameWorldMessages::StaticMeshScaleChanged,48,1,0x1767D60,0,0xCA6CCC08
GameWorldMessages::RiggedMeshFlagsChanged,32,1,0x1767DD0,0,0x3F020C77
GameWorldMessages::RiggedMeshScaleChanged,48,1,0x1767E40,0,0xEA2934E8
GameWorldMessages::ScriptCameraMessage,32,1,0x1767EB0,0,0x60C955C0
GameWorldMessages::ScriptCameraCapture,16,1,0x1767F20,0,0x575D5715
GameWorldMessages::UpdateRuntimeInventorySettings,32,1,0x17680A0,0,0x371D99C1
ClientKafkaMessages::Login,56,1,0x17F31A0,0,0xC0C9D81
ClientKafkaMessages::LoginReply,40,1,0x17F3210,0,0xA685E82B
ClientKafkaMessages::EnterRegion,32,1,0x17F33F0,0,0x8445006
ClientKafkaMessages::LeaveRegion,32,1,0x17F3550,0,0xE4ADC2EB
ClientKafkaMessages::RegionChat,128,1,0x17F36B0,0,0x304D3746
ClientKafkaMessages::PrivateChat,80,1,0x17F3720,0,0x2DC9B029
ClientKafkaMessages::PrivateChatStatus,24,1,0x17F3790,0,0x955C35EB
ClientKafkaMessages::PresenceUpdate,96,1,0x17F3800,0,0x1DB989E8
ClientKafkaMessages::FriendRequest,96,1,0x17F3870,0,0xA356B3ED
ClientKafkaMessages::FriendRequestStatus,24,1,0x17F38E0,0,0x14FFCD37
ClientKafkaMessages::FriendResponse,128,1,0x17F3950,0,0xE24EBDD3
ClientKafkaMessages::FriendResponseStatus,24,1,0x17F39C0,0,0x22565685
ClientKafkaMessages::FriendTable,48,1,0x17F3A30,0,0x203CC0A8
ClientKafkaMessages::RelationshipOperation,32,1,0x17F3AA0,0,0x650939F7
ClientKafkaMessages::RelationshipTable,32,1,0x17F3C50,0,0x78DCC26
ClientKafkaMessages::InventoryItemCapabilities,48,1,0x17F3CC0,0,0xA2190F5D
ClientKafkaMessages::InventoryItemRevision,152,1,0x17F3E50,0,0xE3466906
ClientKafkaMessages::InventoryItemUpdate,264,1,0x17F3EC0,0,0xD7C7DC26
ClientKafkaMessages::InventoryItemDelete,40,1,0x17F3F30,0,0xB11C8C84
ClientKafkaMessages::InventoryLoaded,16,1,0x17F4100,0,0x75BAFB95
